rule,mean_human,mean_llm,std_human,std_llm,difference,abs_difference,docs_human,docs_llm,docs_total,pct_human,pct_llm,mann_whitney_u,p_value,cohens_d,significant_005,significant_001,characteristic_of
"NOUN(DET/det, PUNCT/punct, *, PUNCT/punct)",0.003295324873997041,0.0014393269010145834,0.01984323122172263,0.011681926679788388,0.0018559979729824577,0.0018559979729824577,156,86,242,2.8942486085343226,1.5952513448339825,14720658.0,3.6778159007734794e-06,0.11398926055461972,True,True,human
"NOUN(PUNCT/punct, *, NOUN/nmod)",0.008012178390001212,0.006169184771935069,0.02390634663891265,0.018716185963037032,0.0018429936180661428,0.0018429936180661428,604,550,1154,11.205936920222635,10.202188833240585,14726293.0,0.02271001992376298,0.08584566137862536,True,False,human
"INTJ(*, PUNCT/punct)",0.0021702645846729714,0.0003514922600712378,0.016256217985141888,0.00602443522324798,0.0018187723246017337,0.0018187723246017337,105,19,124,1.948051948051948,0.35243925060285664,14760723.0,7.632963206896643e-15,0.14836411450083714,True,True,human
"NUM(PUNCT/punct, *, PUNCT/punct, NUM/nmod)",0.002010778752461158,0.00020579471305282572,0.016560973421143432,0.004819028747309547,0.0018049840394083322,0.0018049840394083322,84,10,94,1.5584415584415585,0.1854943424225561,14728348.0,1.7002849354567353e-14,0.14799702876535356,True,True,human
"NOUN(DET/det, *, NOUN/nmod, PUNCT/punct)",0.002110063950928292,0.0003190381870820829,0.017487168579829657,0.005805510677604795,0.001791025763846209,0.001791025763846209,87,17,104,1.614100185528757,0.31534038211834536,14717740.0,4.8828946636114e-12,0.13746550487105058,True,True,human
"VERB(*, VERB/xcomp, PUNCT/punct)",0.004353122872216867,0.0025622456135444786,0.020588229486805717,0.013961034914722918,0.0017908772586723888,0.0017908772586723888,253,181,434,4.6938775510204085,3.3574475978482656,14731381.0,0.0002308900156776238,0.10181474757655536,True,True,human
"ADV(CCONJ/cc, *)",0.0030841029482576014,0.0013077005525374875,0.016940342186509322,0.010767033303389123,0.0017764023957201139,0.0017764023957201139,188,81,269,3.4879406307977736,1.5025041736227045,14817067.0,3.995830055655242e-11,0.1251570882874367,True,True,human
"VERB(PRON/nsubj, *)",0.003507931147699179,0.0018442412017859475,0.018535162159057067,0.012241187079740277,0.0016636899459132315,0.0016636899459132315,206,124,330,3.8218923933209648,2.3001298460396957,14752869.0,3.3472127293183364e-06,0.10592251953299507,True,True,human
"CCONJ(*, AUX/fixed, PUNCT/punct)",0.0016376177027640588,0.0,0.014362694911745372,0.0,0.0016376177027640588,0.0016376177027640588,74,0,74,1.37291280148423,0.0,14728212.0,6.012440920878426e-18,0.1612469790287962,True,True,human
"NOUN(DET/det, *, PRON/nmod)",0.004532490266980568,0.002895592864324921,0.020260157293199486,0.014741382168765018,0.0016368974026556471,0.0016368974026556471,287,208,495,5.324675324675325,3.8582823223891674,14748228.5,0.00017993787902851387,0.09239147838912432,True,True,human
"NOUN(DET/det, DET/det, *)",0.008306197923470404,0.006680893489734152,0.022771810320800116,0.019511012585998962,0.001625304433736252,0.001625304433736252,691,590,1281,12.82003710575139,10.94416620293081,14824497.5,0.0011251533275310763,0.0766501708345942,True,True,human
"PRON(ADP/case, *, PRON/fixed)",0.00373622551081303,0.0021230215132135317,0.01909090705845465,0.013275779885813263,0.0016132039975994984,0.0016132039975994984,215,138,353,3.9888682745825603,2.559821925431274,14740831.5,2.067293180334004e-05,0.09811207538262409,True,True,human
"PUNCT(PUNCT/punct, *, PUNCT/parataxis, PUNCT/punct)",0.0015058231540799147,0.0,0.01441299895920979,0.0,0.0015058231540799147,0.0015058231540799147,61,0,61,1.1317254174397031,0.0,14693170.5,4.773626327706953e-15,0.1477524235630696,True,True,human
