termo,classe,distintividade,eta_humano,eta_ia,distintividade_abs
entre em,humano,3.5647556133490608,1.2705599642831293,-2.2941956490659314,3.5647556133490608
somente,humano,3.5632643212801955,1.270800542883565,-2.2924637783966304,3.5632643212801955
revelam que,ia,-3.5106205108905315,-3.0550729165699386,0.45554759432059294,3.5106205108905315
um escandalo,ia,-3.497260864857841,-3.04257873876738,0.45468212609046105,3.497260864857841
gente,humano,3.4569816324429246,1.2635007314037414,-2.193480901039183,3.4569816324429246
reviravolta,ia,-3.4264994280844654,-2.9707461133690716,0.4557533147153937,3.4264994280844654
resultando,ia,-3.3927535643402993,-2.9405170425003804,0.4522365218399191,3.3927535643402993
tem que,humano,3.379111725429352,1.2606063123687743,-2.118505413060578,3.379111725429352
alegacoes,ia,-3.3686291331526395,-2.9141567925432943,0.454472340609345,3.3686291331526395
reforcando,ia,-3.3557475711246725,-2.900444611939295,0.4553029591853776,3.3557475711246725
sugestao,humano,3.298983821790181,1.2538378695577657,-2.0451459522324154,3.298983821790181
pelo site,humano,3.1849469784425963,1.2436557638894,-1.9412912145531964,3.1849469784425963
se voce,humano,3.1777326487436284,1.2436534864973177,-1.9340791622463105,3.1777326487436284
em contato,humano,3.1324902336109375,1.2397817204571282,-1.892708513153809,3.1324902336109375
61,humano,3.0622610620871185,1.2322195702653969,-1.8300414918217216,3.0622610620871185
porque,humano,3.0495025468410684,1.2295015174646542,-1.8200010293764142,3.0495025468410684
aquele,humano,3.0364538597299457,1.2327275096606911,-1.8037263500692544,3.0364538597299457
muita,humano,3.035323356377112,1.231797079622972,-1.8035262767541396,3.035323356377112
coisa,humano,2.987782925937969,1.2236372105998263,-1.764145715338143,2.987782925937969
senhor,humano,2.9590529498094034,1.2209645785082084,-1.7380883713011952,2.9590529498094034
sugerir,humano,2.9207399497696938,1.2145288904406455,-1.7062110593290483,2.9207399497696938
leitores,humano,2.9154222725628687,1.2173079076946058,-1.6981143648682626,2.9154222725628687
leia,humano,2.8580217128868437,1.2119473324576335,-1.6460743804292102,2.8580217128868437
